,x-centroids,y-centroids,pixel major,pixel minor,puncta major,puncta minor,aspect ratio,average background,puncta intensity,partition coeff,file number,channel number,frame number,stack number,puncta index,covariances
141,116.10796846415242,279.4263044555567,7.021990305887808,3.66117971966161,0.343168882421649,0.17892405116076712,1.917958375049894,1795.642857142857,5819.0,3.240622140896615,file4,channel2,1,zstack1,20,"[1.18495760e+02 8.74527904e-02 6.01340277e-02 6.99648288e-03
 1.38043796e-02 1.39703609e-02 5.27659866e+01]"
142,166.0639730209275,294.83497363832936,5.184479720006334,4.413135234160955,0.25336863680379784,0.21567256864663834,1.174783786337341,1937.48,5889.0,3.0395152466089974,file4,channel2,1,zstack1,21,"[1.06774671e+02 4.82729978e-02 5.49334755e-02 8.97552496e-03
 8.81998903e-03 6.81512691e-03 4.66570604e+01]"
143,495.79438391876016,294.51438401108567,5.0335792445651295,3.2735562418050037,0.24599403996468894,0.15998065905939818,1.537648622095971,868.6333333333333,3649.0,4.200851912966729,file4,channel2,1,zstack1,22,"[4.67046565e+01 2.16021725e-02 3.33063614e-02 9.32169437e-03
 7.41462027e-03 3.87605466e-03 1.38263700e+01]"
144,232.56250949487335,307.36848164207197,7.728013169514096,4.413908479292596,0.37767264368027875,0.21571035760049673,1.7508322172444866,1861.7173913043478,4613.0,2.4778196849566205,file4,channel2,1,zstack1,24,"[5.87917593e+01 5.05183794e-02 4.67947409e-02 4.69194532e-03
 6.84984112e-03 5.40979889e-03 3.81973129e+01]"
145,48.10112040705145,311.7159357925894,4.99910672015803,3.545805254853478,0.24430934699877613,0.17328563179197298,1.4098649984556488,1209.768115942029,5043.0,4.168567458130675,file4,channel2,1,zstack1,25,"[6.74097384e+01 3.39038074e-02 2.55308530e-02 4.56327478e-03
 7.59302581e-03 8.19323783e-03 2.20661233e+01]"
146,273.60037602768637,311.8101553995967,6.288753899901073,3.8969934748349435,0.3073351790081948,0.19044841096437323,1.6137450423027542,1454.5121951219512,4413.0,3.0340068751572065,file4,channel2,1,zstack1,26,"[5.48329157e+01 2.92605003e-02 4.38269027e-02 7.61719748e-03
 6.04097040e-03 3.34544427e-03 2.48308607e+01]"
147,365.94011818847287,313.39849311222895,9.084327862251381,3.8715390822875104,0.4439565570785143,0.18920443951714688,2.346438372225828,1790.9166666666667,4848.0,2.706993625238472,file4,channel2,1,zstack1,27,"[7.46901802e+01 3.36437753e-02 8.63903648e-02 1.02634941e-02
 5.34823646e-03 2.30459319e-03 3.98002147e+01]"
148,334.3944559689111,335.9769896042598,5.779878918939613,3.703656427468495,0.2824661531477549,0.1809999133753329,1.560587228359691,1228.6363636363637,4384.0,3.56818349981502,file4,channel2,1,zstack1,28,"[6.23604120e+01 3.23018755e-02 4.13163124e-02 7.97816253e-03
 7.97221124e-03 4.77581817e-03 2.49609787e+01]"
149,133.82793897800838,443.44006903003054,5.295822568764304,4.083993675239496,0.25881002867554076,0.19958722303758944,1.296726437377194,1290.0897435897436,4570.0,3.542389219593151,file4,channel2,1,zstack1,29,"[8.26575278e+01 4.72360117e-02 4.88675077e-02 8.30991774e-03
 9.62727590e-03 7.73741907e-03 3.48526384e+01]"
150,222.14424019242128,454.13642079755516,5.142057576097622,3.766162733035373,0.2512954411596973,0.18405463405868472,1.3653306934916576,971.5689655172414,3934.0,4.0491206899611365,file4,channel2,1,zstack1,30,"[6.52345277e+01 3.36489132e-02 4.36773366e-02 9.39133942e-03
 8.61384064e-03 5.45205737e-03 2.37007785e+01]"
